City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Dali,CN,2021-03-22 21:43:18,25.7,100.1833,49.8,63,0,4.36
125,Palera,IN,2021-03-22 21:43:18,25.0167,79.2333,79.14,22,24,5.37
126,Bredasdorp,ZA,2021-03-22 21:39:23,-34.5322,20.0403,66.2,68,1,12.66
127,Esperance,AU,2021-03-22 21:40:37,-33.8667,121.9,60.8,72,90,10.36
128,Hamilton,US,2021-03-22 21:36:07,39.1834,-84.5333,71.6,28,40,11.5
129,Evensk,RU,2021-03-22 21:39:49,61.95,159.2333,10.94,89,100,39.08
130,Piacabucu,BR,2021-03-22 21:43:19,-10.4056,-36.4344,79.21,78,70,9.71
131,Sarai Mir,IN,2021-03-22 21:43:19,26.0167,82.9167,77.0,57,1,2.71
132,Liverpool,GB,2021-03-22 21:43:04,53.4106,-2.9779,50.0,71,90,6.91
133,Vangaindrano,MG,2021-03-22 21:43:20,-23.35,47.6,74.91,93,70,3.69
134,Pisco,PE,2021-03-22 21:39:24,-13.7,-76.2167,73.4,64,0,26.46
135,Nanortalik,GL,2021-03-22 21:40:41,60.1432,-45.2371,24.4,71,85,9.73
136,Gwanda,ZW,2021-03-22 21:43:21,-20.9333,29.0,66.85,85,50,11.52
137,Onega,RU,2021-03-22 21:43:21,63.9061,38.1404,9.34,99,60,5.01
138,Hovd,MN,2021-03-22 21:43:21,48.0056,91.6419,29.79,37,12,6.76
139,Fortuna,US,2021-03-22 21:39:34,40.5982,-124.1573,54.0,82,75,10.36
140,Namibe,AO,2021-03-22 21:39:35,-15.1961,12.1522,72.1,77,98,5.88
141,Asau,RO,2021-03-22 21:41:31,46.4333,26.4,32.0,52,98,7.99
142,Iwata,JP,2021-03-22 21:43:21,34.7,137.85,45.0,63,0,5.99
143,Aklavik,CA,2021-03-22 21:41:23,68.2191,-135.0107,3.2,55,1,10.36
144,Nagua,DO,2021-03-22 21:43:22,19.3832,-69.8474,73.4,94,75,7.72
145,Tarragona,ES,2021-03-22 21:43:22,41.129,1.249,55.0,76,0,8.05
146,New Norfolk,AU,2021-03-22 21:39:29,-42.7826,147.0587,59.0,70,95,2.1
147,Belmonte,BR,2021-03-22 21:43:22,-15.8631,-38.8828,80.6,74,40,6.91
148,Husavik,IS,2021-03-22 21:40:48,66.0449,-17.3389,35.6,51,40,16.11
149,Komarichi,RU,2021-03-22 21:43:23,52.4151,34.7905,21.02,96,97,5.5
150,Tonstad,NO,2021-03-22 21:43:23,58.6626,6.7169,39.99,93,100,4.21
151,Victoria,HK,2021-03-22 21:37:19,22.2855,114.1577,64.99,66,97,13.98
152,Kruisfontein,ZA,2021-03-22 21:41:29,-34.0033,24.7314,62.01,84,0,1.99
153,Gat,IL,2021-03-22 21:37:02,31.61,34.7642,77.0,47,98,4.0
