City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
183,Viedma,AR,-40.8135,-62.9967,71.26,22,62,7.65,broken clouds
184,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,50,40,29.08,scattered clouds
185,Burgeo,CA,47.6167,-57.6152,30.22,85,100,37.92,snow
186,Badhni Kalan,IN,30.6833,75.2833,76.08,21,0,3.78,clear sky
187,Kijang,KR,35.2442,129.2139,62.6,88,90,20.71,heavy intensity rain
188,Norman Wells,CA,65.282,-126.8329,6.8,78,75,10.36,light snow
189,Zemio,CF,5.0314,25.1361,84.52,47,86,2.35,overcast clouds
190,Ahipara,NZ,-35.1667,173.1667,66.4,84,100,11.95,overcast clouds
191,Khandyga,RU,62.6667,135.6,13.21,98,100,3.0,overcast clouds
192,Komsomolskiy,UZ,40.4272,71.7189,57.2,77,100,4.61,overcast clouds
193,College,US,64.8569,-147.8028,15.8,79,90,2.91,overcast clouds
194,Luderitz,NA,-26.6481,15.1594,70.34,62,0,22.64,clear sky
195,Geraldton,AU,-28.7667,114.6,68.0,73,2,11.5,clear sky
196,Ponta Grossa,BR,-25.095,-50.1619,81.14,52,98,5.66,overcast clouds
197,Piacabucu,BR,-10.4056,-36.4344,82.76,67,69,11.25,broken clouds
198,Suntar,RU,62.1444,117.6319,9.43,95,85,4.18,overcast clouds
199,Ambon,ID,-3.6954,128.1814,77.0,88,40,2.3,moderate rain
200,Sosua,DO,19.7667,-70.5167,84.2,74,40,18.41,scattered clouds
201,Butterworth,MY,5.3991,100.3638,84.0,83,40,4.61,scattered clouds
202,Ola,RU,59.5833,151.2833,-6.03,99,96,4.52,overcast clouds
203,Tazovskiy,RU,67.4667,78.7,5.45,95,100,14.56,overcast clouds
204,Meadow Lake,US,34.8014,-106.5436,48.0,52,1,9.22,clear sky
205,Pokhara,NP,28.2333,83.9833,67.44,18,2,7.34,clear sky
206,Kankan,GN,10.3854,-9.3057,103.78,6,45,4.7,scattered clouds
207,Thinadhoo,MV,0.5333,72.9333,83.77,70,99,8.95,overcast clouds
208,Woodward,US,36.4337,-99.3904,55.99,58,1,16.11,clear sky
209,Bandar,ID,2.05,99.75,73.85,95,100,1.86,overcast clouds
210,Moron,AR,-34.6534,-58.6198,72.0,88,75,8.05,broken clouds
211,Fairbanks,US,64.8378,-147.7164,15.8,85,90,2.68,overcast clouds
212,Goderich,CA,43.7501,-81.7165,37.4,93,30,5.75,scattered clouds
213,Latung,PH,5.5,120.8833,82.6,77,80,8.43,broken clouds
214,Korla,CN,41.7597,86.1469,55.17,51,100,14.36,overcast clouds
215,Namtsy,RU,62.7161,129.6658,19.4,79,20,4.47,light snow
216,Cap Malheureux,MU,-19.9842,57.6142,80.01,80,42,3.47,scattered clouds
217,Camacha,PT,33.0833,-16.3333,64.4,94,75,17.27,broken clouds
218,Ust-Nera,RU,64.5667,143.2,-5.21,99,96,3.51,overcast clouds
219,Sitka,US,57.0531,-135.33,32.0,100,90,1.83,light snow
220,Arkhara,RU,49.4212,130.0842,33.57,94,99,4.36,overcast clouds
221,Asfi,MA,32.2994,-9.2372,66.09,63,69,11.65,broken clouds
222,Kapenguria,KE,1.2511,35.0895,66.24,42,100,1.39,overcast clouds
223,Ostrovnoy,RU,68.0531,39.5131,34.02,80,93,26.87,overcast clouds
224,Rawson,AR,-43.3002,-65.1023,75.52,18,28,20.71,scattered clouds
225,Riyadh,SA,24.6877,46.7219,86.0,19,8,19.57,clear sky
226,Bintulu,MY,3.1667,113.0333,78.8,94,20,5.39,few clouds
227,Sorland,NO,67.667,12.6934,39.2,93,75,13.8,broken clouds
228,Muravlenko,RU,63.7898,74.523,3.02,97,47,10.76,scattered clouds
229,Katsuura,JP,35.1333,140.3,61.0,71,100,3.0,overcast clouds
230,Lavrentiya,RU,65.5833,-171.0,-15.99,90,15,4.14,few clouds
231,Fort-Shevchenko,KZ,44.5086,50.263,40.77,86,93,18.57,overcast clouds
232,Grand-Santi,GF,4.25,-54.3833,87.06,56,81,5.41,broken clouds
233,Rehti,IN,22.7333,77.4333,77.0,47,0,2.3,clear sky
234,Banda Aceh,ID,5.5577,95.3222,78.46,87,100,12.21,light rain
235,Klaksvik,FO,62.2266,-6.589,39.2,70,40,24.16,scattered clouds
236,San Patricio,US,28.017,-97.5169,77.0,88,90,13.8,overcast clouds
237,Algiers,DZ,36.7525,3.042,66.2,68,0,12.66,clear sky
238,Pisco,PE,-13.7,-76.2167,73.0,73,15,8.05,few clouds
239,Dakar,SN,14.6937,-17.4441,71.6,78,0,19.57,clear sky
240,Saint-Pierre,RE,-21.3393,55.4781,78.8,89,75,5.75,moderate rain
241,Baruun-Urt,MN,46.6806,113.2792,32.14,78,90,29.33,light snow
242,Taoudenni,ML,22.6783,-3.9836,95.99,5,2,12.1,clear sky
243,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,60.12,94,100,1.21,overcast clouds
244,Constitucion,CL,-35.3333,-72.4167,69.89,40,43,10.58,scattered clouds
245,San Angelo,US,31.4638,-100.437,73.0,60,40,9.22,scattered clouds
246,Mapiripan,CO,2.8892,-72.1256,83.37,70,56,9.01,broken clouds
247,Mezen,RU,65.8522,44.24,26.33,92,12,5.7,few clouds
248,Salalah,OM,17.0151,54.0924,82.4,65,0,3.44,clear sky
249,Dikson,RU,73.5069,80.5464,-17.14,100,64,8.32,broken clouds
250,Tupelo,US,34.2576,-88.7034,78.8,65,75,12.66,broken clouds
251,Waitati,NZ,-45.75,170.5667,62.01,74,97,5.01,overcast clouds
252,Beringovskiy,RU,63.05,179.3167,-14.17,99,29,4.34,scattered clouds
253,Adzope,CI,6.1069,-3.8619,87.3,58,97,5.39,light rain
254,Hasaki,JP,35.7333,140.8333,55.4,76,75,9.22,broken clouds
255,Aleksandrow Kujawski,PL,52.8766,18.6935,46.0,90,100,3.0,overcast clouds
256,Collie,AU,-33.3667,116.15,56.48,84,88,5.5,overcast clouds
257,Bentiu,SS,9.2333,29.8333,96.15,21,70,2.44,broken clouds
258,Ornskoldsvik,SE,63.2909,18.7153,35.6,100,90,9.22,mist
259,Sabang,ID,5.8933,95.3214,82.24,76,100,13.94,moderate rain
260,Tombouctou,ML,20.0,-3.0,93.92,5,0,13.96,clear sky
261,Bubaque,GW,11.2833,-15.8333,77.34,73,19,14.32,few clouds
