City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
160,Byron Bay,AU,-28.65,153.6167,70.0,88,0,6.87,clear sky
161,Atocha,BO,-20.9333,-66.2333,59.54,33,54,14.03,broken clouds
162,Castro,BR,-24.7911,-50.0119,66.97,87,91,4.7,overcast clouds
163,Namibe,AO,-15.1961,12.1522,74.8,77,100,4.99,overcast clouds
164,Vieux-Habitants,GP,16.0589,-61.7659,80.6,65,75,13.8,broken clouds
165,Ponta Do Sol,PT,32.6667,-17.1,64.4,88,75,16.11,broken clouds
166,New Norfolk,AU,-42.7826,147.0587,55.99,89,100,3.6,overcast clouds
167,Victoria,HK,22.2855,114.1577,73.99,88,13,3.94,few clouds
168,Anadyr,RU,64.75,177.4833,-2.0,71,0,6.71,clear sky
169,Takoradi,GH,4.8845,-1.7554,79.29,85,85,4.27,overcast clouds
170,La Asuncion,VE,11.0333,-63.8628,76.75,83,100,17.13,overcast clouds
171,Phan Thiet,VN,10.9333,108.1,73.33,89,33,7.11,scattered clouds
172,Tuatapere,NZ,-46.1333,167.6833,57.99,93,100,4.0,overcast clouds
173,Seoul,KR,37.5683,126.9778,50.0,93,90,14.97,mist
174,Ystad,SE,55.4297,13.8204,39.2,87,40,11.5,scattered clouds
175,Leningradskiy,RU,69.3833,178.4167,-7.91,88,38,7.99,scattered clouds
176,Puerto Madryn,AR,-42.7692,-65.0385,68.49,34,76,27.58,broken clouds
177,Ferma,RU,57.9016,56.3064,21.2,68,0,4.38,clear sky
178,Tasiilaq,GL,65.6145,-37.6368,17.6,53,90,20.71,overcast clouds
179,Banda Aceh,ID,5.5577,95.3222,79.48,76,79,4.27,broken clouds
180,Lagoa,PT,39.05,-27.9833,59.25,89,27,11.27,scattered clouds
181,Fort Morgan,US,40.2503,-103.8,51.8,20,40,24.16,scattered clouds
182,Talakan,RU,50.3167,130.3667,31.6,91,100,6.26,overcast clouds
183,Port Macquarie,AU,-31.4333,152.9167,66.99,80,4,4.0,clear sky
184,Kingaroy,AU,-26.5333,151.8333,72.0,94,0,0.76,clear sky
185,Bereda,ES,43.2686,-7.5406,46.0,97,4,3.0,clear sky
186,Brazzaville,CG,-4.2658,15.2832,77.0,78,40,11.5,light rain
187,Finschhafen,PG,-6.6024,147.8681,81.63,79,99,10.25,light rain
188,Pimentel,PE,-6.8367,-79.9342,80.6,54,0,18.41,clear sky
189,Boulder City,US,35.9786,-114.8325,73.0,15,1,12.66,clear sky
190,Tupancireta,BR,-29.0806,-53.8358,64.85,98,100,3.85,light rain
191,Isangel,VU,-19.55,169.2667,80.6,78,20,7.85,few clouds
192,Hithadhoo,MV,-0.6,73.0833,83.88,72,100,15.61,overcast clouds
193,Waipawa,NZ,-41.4122,175.5153,68.0,64,75,20.71,broken clouds
194,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.36,84,92,6.69,overcast clouds
195,Arroyo,ES,41.6096,-4.7969,48.0,70,0,4.61,clear sky
196,Esperance,AU,-33.8667,121.9,57.2,94,40,6.91,scattered clouds
197,Parrita,CR,9.5201,-84.3225,82.4,50,20,14.97,few clouds
198,Camacha,PT,33.0833,-16.3333,64.4,88,40,21.85,scattered clouds
199,Nizwa,OM,22.9333,57.5333,77.32,33,14,2.19,few clouds
200,Jedrzejow,PL,50.6394,20.3045,46.0,66,99,8.01,light rain
201,Clyde River,CA,70.4692,-68.5914,-0.4,71,75,2.3,broken clouds
202,Buchanan,LR,5.8808,-10.0467,78.8,94,40,5.21,scattered clouds
203,College,US,64.8569,-147.8028,25.0,68,90,6.91,light snow
204,Terney,RU,45.0503,136.6092,36.99,93,99,1.83,overcast clouds
205,Port Pirie,AU,-33.1833,138.0167,55.4,88,75,3.44,broken clouds
206,Tomatlan,MX,19.9333,-105.25,85.91,32,87,9.24,overcast clouds
207,San Patricio,US,28.017,-97.5169,86.0,62,40,20.71,scattered clouds
208,Luderitz,NA,-26.6481,15.1594,64.94,71,0,16.64,clear sky
209,La Ronge,CA,55.1001,-105.2842,26.6,50,98,6.91,overcast clouds
210,Malakal,SS,9.5334,31.6605,86.97,26,48,0.87,scattered clouds
211,Beidao,CN,34.5686,105.8933,50.86,69,0,4.27,clear sky
212,Mar Del Plata,AR,-38.0023,-57.5575,61.0,94,90,23.02,moderate rain
213,Prizren,XK,42.2139,20.7397,41.0,65,0,4.61,clear sky
214,Norman Wells,CA,65.282,-126.8329,10.4,79,90,10.36,light snow
215,Chongwe,ZM,-15.3292,28.682,63.79,94,100,2.66,light rain
216,Saldanha,ZA,-33.0117,17.9442,59.0,72,0,5.75,clear sky
217,Mitsamiouli,KM,-11.3847,43.2844,82.26,71,83,1.54,broken clouds
218,Cap Malheureux,MU,-19.9842,57.6142,78.01,82,97,3.0,overcast clouds
219,Pocao De Pedras,BR,-4.6667,-44.85,74.68,94,98,2.1,moderate rain
220,Mercedes,AR,-34.6515,-59.4307,66.0,84,79,1.99,broken clouds
221,Tabou,CI,4.423,-7.3528,78.21,87,9,4.56,clear sky
222,Kovylkino,RU,54.0388,43.9139,31.73,91,100,7.45,overcast clouds
223,Chokurdakh,RU,70.6333,147.9167,-1.41,89,100,5.75,overcast clouds
224,Veraval,IN,20.9,70.3667,79.14,52,20,12.15,few clouds
225,Trelew,AR,-43.249,-65.3051,71.94,22,100,19.06,overcast clouds
226,Idritsa,RU,56.3316,28.8988,37.67,89,84,7.49,broken clouds
227,Ayan,RU,56.45,138.1667,12.11,89,100,3.91,overcast clouds
228,Kupang,ID,-10.1667,123.5833,78.8,100,40,4.61,scattered clouds
229,Eureka,US,40.8021,-124.1637,68.0,58,7,3.0,clear sky
230,San Cristobal,VE,7.7669,-72.225,75.2,94,75,5.75,fog
231,Vardo,NO,70.3705,31.1107,36.97,93,100,22.21,overcast clouds
232,Tourlaville,FR,49.6383,-1.5664,50.0,93,75,5.75,broken clouds
233,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,88,75,3.76,broken clouds
234,Cape Town,ZA,-33.9258,18.4232,63.0,59,0,13.8,clear sky
235,Ust-Kan,RU,50.9276,84.761,22.14,94,87,4.79,overcast clouds
236,Sandakan,MY,5.8402,118.1179,77.0,94,20,3.44,few clouds
237,Auki,SB,-8.7676,160.7034,83.1,72,67,4.54,broken clouds
238,Carnarvon,AU,-24.8667,113.6333,71.6,88,40,7.72,scattered clouds
239,Mount Hagen,PG,-5.8581,144.2274,61.95,95,100,2.35,overcast clouds
240,Carutapera,BR,-1.195,-46.02,74.25,93,72,6.11,broken clouds
241,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.79,64,52,2.66,broken clouds
242,Karratha,AU,-20.7377,116.8463,81.59,69,98,7.99,overcast clouds
243,Mnogovershinnyy,RU,53.9353,139.9242,20.48,95,83,3.44,broken clouds
244,Fairbanks,US,64.8378,-147.7164,25.0,74,90,6.91,overcast clouds
245,Praia,CV,14.9215,-23.5087,68.0,73,20,21.85,few clouds
246,Maputo,MZ,-25.9653,32.5892,75.2,78,75,16.11,broken clouds
247,Lebu,CL,-37.6167,-73.65,57.99,80,18,18.92,few clouds
248,Souillac,MU,-20.5167,57.5167,75.2,88,75,6.91,broken clouds
249,Milkovo,RU,54.7167,158.6167,20.21,87,100,4.45,light snow
250,Tabuk,PH,17.4189,121.4443,71.24,92,41,3.47,scattered clouds
251,Emborion,GR,40.4833,21.55,39.2,56,40,2.13,scattered clouds
252,Kaitangata,NZ,-46.2817,169.8464,62.38,66,100,2.19,overcast clouds
253,Sarakhs,IR,36.5449,61.1577,57.2,94,72,9.22,broken clouds
254,Port Lincoln,AU,-34.7333,135.8667,59.36,75,27,3.15,scattered clouds
255,Kralendijk,BQ,12.15,-68.2667,82.4,69,40,20.71,scattered clouds
256,Ust-Kuyga,RU,70.0167,135.6,-0.63,99,100,3.89,overcast clouds
257,Khotyn,UA,48.4833,26.5,41.0,72,20,4.88,few clouds
258,Vangaindrano,MG,-23.35,47.6,73.49,93,4,3.22,light rain
259,Dhidhdhoo,MV,6.8833,73.1,83.46,73,91,10.25,overcast clouds
260,Constitucion,CL,-35.3333,-72.4167,64.99,59,58,13.33,broken clouds
261,Port Elizabeth,ZA,-33.918,25.5701,60.8,72,40,11.5,scattered clouds
262,Dunedin,NZ,-45.8742,170.5036,62.01,81,100,10.0,overcast clouds
263,Provideniya,RU,64.3833,-173.3,0.73,95,100,5.01,overcast clouds
264,Saint-Denis,FR,48.9167,2.3333,50.0,62,0,4.61,clear sky
265,Rio Grande,BR,-32.035,-52.0986,73.99,91,100,6.42,moderate rain
266,Tautira,PF,-17.7333,-149.15,86.0,66,40,10.36,light rain
267,Quebec,CA,46.8123,-71.2145,32.0,79,60,8.05,broken clouds
268,Tiksi,RU,71.6872,128.8694,5.95,97,100,3.67,overcast clouds
269,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,20,12.06,few clouds
270,Hofn,IS,64.2539,-15.2082,31.35,97,100,28.63,snow
271,Kodiak,US,57.79,-152.4072,33.8,51,90,23.02,overcast clouds
272,El Tigre,VE,8.8875,-64.2454,83.86,49,78,14.43,broken clouds
273,Saint-Leu,RE,-21.15,55.2833,77.0,83,0,6.91,clear sky
274,Galveston,US,29.3669,-94.9669,82.0,83,90,16.11,haze
275,Porbandar,IN,21.6422,69.6093,78.42,62,15,8.55,few clouds
276,Ordynskoye,RU,54.3656,81.8994,32.56,97,100,12.33,overcast clouds
277,Bourail,NC,-21.5667,165.4833,82.87,63,0,1.25,clear sky
278,Puerto Escondido,MX,15.85,-97.0667,86.0,74,1,8.05,clear sky
279,Williams Lake,CA,52.1415,-122.1445,55.0,53,75,16.11,broken clouds
280,Nishihara,JP,26.1842,127.7558,73.4,88,75,14.97,broken clouds
281,Raymond,US,43.9015,-70.4703,46.99,72,93,3.0,overcast clouds
282,Itacurubi Del Rosario,PY,-24.5,-56.6833,73.76,94,84,9.01,light rain
283,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,46,98,26.84,overcast clouds
284,Saint-Georges,GD,12.0564,-61.7485,82.4,69,40,11.5,scattered clouds
285,Ambulu,ID,-8.345,113.6058,74.97,90,71,2.71,broken clouds
286,Platanos,GR,37.6667,21.6167,44.6,87,20,3.8,few clouds
287,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,40,4.61,scattered clouds
288,Srinagar,IN,34.0833,74.8167,53.78,68,93,2.82,overcast clouds
289,Plettenberg Bay,ZA,-34.0527,23.3716,60.75,73,84,3.31,broken clouds
290,Baherden,TM,38.4362,57.4316,59.13,43,65,12.86,broken clouds
291,Vostok,RU,46.4856,135.8833,33.1,98,81,3.91,broken clouds
292,Date,JP,42.4681,140.8681,38.05,83,100,6.06,overcast clouds
293,Beeville,US,28.4008,-97.7483,88.0,66,1,12.66,clear sky
294,San Ramon,US,37.7799,-121.978,78.01,18,1,8.05,clear sky
295,Kerman,IR,30.2832,57.0788,66.2,20,0,4.61,clear sky
296,Arenys De Mar,ES,41.5819,2.5494,55.0,79,8,1.99,clear sky
297,Dejen,ET,10.1667,38.1333,58.78,29,13,1.81,few clouds
298,Padang,ID,-0.9492,100.3543,78.8,94,90,3.44,overcast clouds
299,Marawi,PH,7.9986,124.2928,73.99,90,82,5.01,broken clouds
300,Sapatgram,IN,26.3334,90.109,68.58,24,0,2.84,clear sky
301,Nome,US,64.5011,-165.4064,7.0,71,1,0.65,clear sky
302,Bentiu,SS,9.2333,29.8333,86.34,27,2,4.76,clear sky
303,Huntingdon,GB,52.3305,-0.1865,48.0,77,100,8.99,overcast clouds
304,Necochea,AR,-38.5473,-58.7368,61.0,80,63,5.99,broken clouds
305,Erenhot,CN,43.6475,111.9767,30.22,42,4,22.21,clear sky
306,Lata,PT,40.1629,-8.3327,54.0,87,22,3.44,few clouds
307,Helong,CN,42.5397,128.9972,39.96,96,100,3.31,light rain
308,Beira,MZ,-19.8436,34.8389,78.8,94,20,5.75,few clouds
309,Ariquemes,BR,-9.9133,-63.0408,76.24,93,34,2.77,scattered clouds
310,Avarua,CK,-21.2078,-159.775,84.2,74,75,20.71,broken clouds
311,Pisco,PE,-13.7,-76.2167,73.4,68,0,10.36,clear sky
312,Itoman,JP,26.1247,127.6694,73.4,88,75,17.27,broken clouds
313,Tambaram,IN,12.9299,80.1118,77.0,88,40,2.3,mist
314,Palana,RU,59.1167,159.9667,1.92,86,100,5.99,overcast clouds
315,Okhotsk,RU,59.3833,143.3,3.51,91,98,4.76,overcast clouds
316,Torquay,GB,50.4638,-3.5143,50.0,85,100,11.01,overcast clouds
317,Manggar,ID,-2.8833,108.2667,78.78,83,66,3.4,broken clouds
318,Union De San Antonio,MX,21.1,-101.9667,86.0,10,75,11.5,broken clouds
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.4,65,0,9.22,clear sky
320,Tarko-Sale,RU,64.9225,77.785,-3.35,97,41,10.92,scattered clouds
321,Strezhevoy,RU,60.7333,77.5889,23.0,86,90,8.95,light snow
322,Bathsheba,BB,13.2167,-59.5167,80.6,57,75,19.57,broken clouds
323,Coahuayana,MX,18.7333,-103.6833,82.4,44,1,11.5,clear sky
324,Gravelbourg,CA,49.8834,-106.5512,41.0,38,2,12.66,clear sky
325,Ginir,ET,7.1333,40.7,60.64,35,100,5.37,overcast clouds
326,Guerrero Negro,MX,27.9769,-114.0611,72.19,33,0,15.43,clear sky
327,Paamiut,GL,61.994,-49.6678,2.03,76,5,28.52,clear sky
328,Makakilo City,US,21.3469,-158.0858,82.4,51,1,12.66,clear sky
329,Zharkent,KZ,44.1628,80.0,55.26,41,100,7.05,overcast clouds
330,Faya,SA,18.3851,42.4509,62.6,51,0,2.28,clear sky
331,Flin Flon,CA,54.7682,-101.865,28.4,37,40,12.66,scattered clouds
332,Smithers,CA,54.7804,-127.1743,39.2,87,90,13.8,light rain
333,Bengkulu,ID,-3.8004,102.2655,74.75,86,100,4.41,overcast clouds
334,Ishigaki,JP,24.3448,124.1572,73.4,100,75,9.22,broken clouds
335,Olot,ES,42.181,2.4901,51.01,93,69,2.86,broken clouds
336,Rawson,AR,-43.3002,-65.1023,69.91,30,99,21.03,overcast clouds
337,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,32,1,11.5,clear sky
338,Saint-Augustin,CA,51.226,-58.6502,18.63,76,69,10.47,broken clouds
339,Ahipara,NZ,-35.1667,173.1667,65.88,91,100,12.48,overcast clouds
340,Touros,BR,-5.1989,-35.4608,78.8,89,75,4.61,broken clouds
341,Meybod,IR,32.2501,54.0166,75.2,16,0,9.22,clear sky
342,Chingirlau,KZ,51.095,54.0814,32.68,99,100,5.01,overcast clouds
343,Guozhen,CN,34.3659,107.359,56.5,49,0,3.83,clear sky
344,Nhulunbuy,AU,-12.2333,136.7667,77.0,100,75,11.5,broken clouds
345,Aktau,KZ,43.65,51.2,39.2,75,40,15.66,scattered clouds
346,Chik,RU,54.9928,82.4311,33.8,93,90,8.95,light intensity drizzle
